rows,cols,format,saving_time,loading_time,file_size
100000,10,csv,0.1007752418518066,0.0266580581665039,3.709492683410645
100000,10,json,0.0536971092224121,0.3075180053710937,11.232973098754885
100000,10,pickle,0.0014560222625732,0.001249074935913,7.630107879638672
100000,10,parquet,0.032895803451538,0.0094199180603027,1.2390928268432615
100000,10,hdf,0.0627446174621582,0.0074191093444824,8.399238586425781
100000,10,feather,0.0074450969696044,0.0047988891601562,3.000345230102539
300000,10,csv,0.3087410926818847,0.0726609230041503,11.129019737243652
300000,10,json,0.1753489971160888,1.0284883975982666,35.81863784790039
300000,10,pickle,0.0041749477386474,0.003951072692871,22.888896942138672
300000,10,parquet,0.0505762100219726,0.0073850154876708,3.62725830078125
300000,10,hdf,0.0074970722198486,0.0129179954528808,25.18390655517578
300000,10,feather,0.0131998062133789,0.0081410408020019,8.986246109008789
500000,10,csv,0.4990308284759521,0.1105270385742187,18.548930168151855
500000,10,json,0.2697229385375976,1.8750982284545896,60.404685974121094
500000,10,pickle,0.0060651302337646,0.0059988498687744,38.14768600463867
500000,10,parquet,0.078122854232788,0.0100488662719726,6.015320777893066
500000,10,hdf,0.0099458694458007,0.0206210613250732,41.96857452392578
500000,10,feather,0.0213067531585693,0.0124447345733642,14.972078323364258
1000000,10,csv,1.017435073852539,0.213634967803955,37.0991849899292
1000000,10,json,0.5782589912414551,4.457862138748169,121.87028503417967
1000000,10,pickle,0.0155978202819824,0.0114758014678955,76.29465866088867
1000000,10,parquet,0.1553528308868408,0.0158910751342773,11.986319541931152
1000000,10,hdf,0.0242791175842285,0.0354807376861572,83.93024444580078
1000000,10,feather,0.0417180061340332,0.0279121398925781,29.940507888793945
2500000,10,csv,2.463233232498169,0.5291471481323242,92.74734210968018
2500000,10,json,1.4024431705474854,14.568768978118896,320.56958961486816
2500000,10,pickle,0.0351722240447998,0.0260009765625,190.73557662963867
2500000,10,parquet,0.3876800537109375,0.0308032035827636,29.980052947998047
2500000,10,hdf,0.0866878032684326,0.0812032222747802,209.81525421142575
2500000,10,feather,0.0971660614013671,0.0593769550323486,74.83297920227051
5000000,10,csv,4.835036754608154,1.034398078918457,185.48939895629883
5000000,10,json,2.782524824142456,34.86756610870361,651.7302255630493
5000000,10,pickle,0.0857148170471191,0.0507848262786865,381.4704399108887
5000000,10,parquet,0.7789371013641357,0.0441949367523193,59.91578102111816
5000000,10,hdf,0.0840027332305908,0.1607551574707031,419.6236038208008
5000000,10,feather,0.2083568572998047,0.1060280799865722,149.65287971496582
10000000,10,csv,9.84238600730896,2.103432893753052,370.9769868850708
10000000,10,json,5.921027898788452,79.03552198410034,1314.0549716949463
10000000,10,pickle,0.1092269420623779,0.110612154006958,762.9401664733887
10000000,10,parquet,1.546987771987915,0.0841860771179199,119.82688045501708
10000000,10,hdf,0.2022340297698974,0.3480370044708252,839.2403030395508
10000000,10,feather,0.4196877479553222,0.198444128036499,299.29981422424316
25000000,10,csv,24.24649977684021,5.198913097381592,927.4552221298218
25000000,10,json,14.903629064559937,284.88664293289185,3444.0958290100098
25000000,10,pickle,0.8861219882965088,0.2836601734161377,1907.349346160889
25000000,10,parquet,3.841820240020752,0.2872169017791748,299.52224349975586
25000000,10,hdf,0.4072942733764648,0.8759312629699707,2098.090400695801
25000000,10,feather,1.0677146911621094,0.4120912551879883,748.2325687408447
50000000,10,csv,48.15988898277283,10.811092138290403,1854.8999481201172
50000000,10,json,32.69869780540466,1018.77370595932,6994.144925117493
50000000,10,pickle,10.226195335388184,0.5503191947937012,3814.6979789733887
50000000,10,parquet,7.5366551876068115,0.9660227298736572,599.0403060913086
50000000,10,hdf,1.4717040061950684,1.7389588356018066,4196.173896789551
50000000,10,feather,2.077751874923706,0.927349090576172,1496.4574756622314
100000,10,xml,1.3551878929138184,1.9893121719360352,17.91939640045166
300000,10,xml,3.475172996520996,6.025066137313843,53.7583532333374
500000,10,xml,5.757205963134766,10.013790130615234,89.59843444824219
1000000,10,xml,11.67778205871582,19.70194697380066,179.1968479156494
2500000,10,xml,30.039654970169067,52.0864531993866,447.98900508880615
5000000,10,xml,61.92030906677246,140.34917497634888,895.974534034729
